input_tokens method concurrency decode_tps ttft_s tpot_ms e2e_s output_tps
16384 vLLM 46 760.29 19.56 73.46 169.94 553.18
16384 Dense 49 692.75 18.02 92.08 206.51 485.86
16384 H2O 87 1494.15 32.47 88.66 213.96 832.47
16384 SnapKV 87 1116.96 32.74 113.71 265.50 670.90
16384 OmniKV 49 1209.62 18.00 58.61 137.97 727.17
32768 vLLM 24 386.12 32.07 78.01 191.76 255.82
32768 Dense 25 405.80 27.99 86.28 204.61 250.18
32768 H2O 84 1483.56 93.61 115.85 330.75 519.91
32768 SnapKV 84 1112.34 94.19 140.40 381.59 450.68
32768 OmniKV 25 820.51 27.95 52.07 134.54 380.36
58114 vLLM 14 237.05 48.81 81.28 215.20 133.02
58114 Dense 14 236.65 47.13 83.84 218.75 131.05
58114 H2O 83 1329.03 228.80 130.15 495.22 343.09
58114 SnapKV 81 1106.63 275.20 200.56 685.75 241.82
58114 OmniKV 14 540.50 47.07 50.60 150.65 190.28
115924 vLLM 7 116.24 NA NA 283.48 NA
115924 Dense 7 124.02 NA NA 274.63 NA
115924 H2O 83 1310.69 NA NA 931.81 NA
115924 SnapKV 75 1094.25 NA NA 1797.08 NA
115924 OmniKV 7 301.68 NA NA 205.42 NA
