prompt_tokens,method,measured_requests,ttft_s_mean,ttft_s_p50,ttft_s_p95,ttft_s_p99,source_relative
16384,svllm-dense,3,0.4333380402531475,0.43328406987711787,0.43509710193611684,0.43525826034136117,parallel-gpu6/full/svllm-dense/request/p16384
16384,h2o,3,0.4622305013084163,0.4620987898670137,0.46438510860316456,0.46458833693526685,parallel-gpu6/full/h2o/request/p16384
16384,snapkv,3,0.4683012187015265,0.46860903897322714,0.4687194114550948,0.46872922234237197,parallel-gpu6/full/snapkv/request/p16384
32768,svllm-dense,3,1.2384739929499726,1.2384530929848552,1.2390906781656668,1.2391473524039611,parallel-gpu7/full/svllm-dense/request/p32768
32768,h2o,3,1.27697299933061,1.277320760069415,1.2785342452814803,1.2786421106336638,parallel-gpu7/full/h2o/request/p32768
32768,snapkv,3,1.2859411667256306,1.284986702958122,1.2883680660044774,1.288668631608598,parallel-gpu7/full/snapkv/request/p32768
58114,svllm-dense,3,3.2952161573339254,3.2951449810061604,3.3017735151341183,3.3023627181677147,parallel-gpu6/full/svllm-dense/request/p58114
58114,h2o,3,2.525318354678651,2.52600866695866,2.5271675547584893,2.527270567007363,parallel-gpu6/full/h2o/request/p58114
58114,snapkv,3,3.383954593601326,3.3821539289783686,3.3899991705315187,3.390696525336243,parallel-gpu6/full/snapkv/request/p58114
115924,svllm-dense,3,11.226953075267375,11.222907865885645,11.233936115680262,11.234916404550894,parallel-gpu7/full/svllm-dense/request/p115924
115924,h2o,3,5.502316550351679,5.503804211970419,5.508194375201128,5.508584611932747,parallel-gpu7/full/h2o/request/p115924
115924,snapkv,3,11.368971767369658,11.373087479965761,11.373998766974546,11.374079770264215,parallel-gpu7/full/snapkv/request/p115924
173734,svllm-dense,3,23.750669077582035,23.741926142945886,23.766062661469913,23.76820812978316,parallel-gpu6/full/svllm-dense/request/p173734
173734,h2o,3,8.56850176374428,8.572385482955724,8.575734794442543,8.576032511019148,parallel-gpu6/full/h2o/request/p173734
173734,snapkv,3,24.056137567618862,24.0366641508881,24.09598172355909,24.1012543966854,parallel-gpu6/full/snapkv/request/p173734
