panel,lane,concurrency,throughput_tps,artifact,baseline_throughput_tps,baseline_artifact,delta_percent,status,reason
panel-0,vllm-vanilla,1,184.3704793371677,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs1/performance.jsonl,184.3704793371677,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs1/performance.jsonl,0.0,success,
panel-0,vllm-vanilla,2,282.7995921545223,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs2/performance.jsonl,282.7995921545223,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs2/performance.jsonl,0.0,success,
panel-0,vllm-vanilla,4,396.9237163254184,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs4/performance.jsonl,396.9237163254184,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs4/performance.jsonl,0.0,success,
panel-0,vllm-vanilla,8,539.8433885345648,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs8/performance.jsonl,539.8433885345648,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs8/performance.jsonl,0.0,success,
panel-0,vllm-vanilla,12,532.1965403003157,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs12/performance.jsonl,532.1965403003157,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs12/performance.jsonl,0.0,success,
panel-0,sengine-vanilla,1,212.80129671998415,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-vanilla/bs1/performance.jsonl,184.3704793371677,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs1/performance.jsonl,15.42048243570684,success,
panel-0,sengine-vanilla,2,340.2121006211782,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-vanilla/bs2/performance.jsonl,282.7995921545223,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs2/performance.jsonl,20.301482059877074,success,
panel-0,sengine-vanilla,4,454.8156813032087,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-vanilla/bs4/performance.jsonl,396.9237163254184,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs4/performance.jsonl,14.58516147982638,success,
panel-0,sengine-vanilla,8,610.7110091572753,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-vanilla/bs8/performance.jsonl,539.8433885345648,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs8/performance.jsonl,13.127440685174374,success,
panel-0,sengine-vanilla,12,588.2618953471637,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-vanilla/bs12/performance.jsonl,532.1965403003157,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs12/performance.jsonl,10.534708665187953,success,
