panel,lane,concurrency,decode_throughput_tps,capacity_confirmed,artifact
panel-0,sengine-vanilla,12,588.2618953471637,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-vanilla/bs12/performance.jsonl
panel-0,sengine-snapkv,41,2138.2067548284576,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/qwen3-30b-fp8/sengine-snapkv-repoopt-snapkv-affinity0-probes-r4-gpu6-20260922/sengine-snapkv/bs41/performance.jsonl
panel-0,sengine-quest,11,1460.8244176818357,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-quest/bs11/performance.jsonl
panel-0,sengine-omnikv,12,1501.085809906425,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-omnikv/bs12/performance.jsonl
panel-0,vllm-vanilla,12,532.1965403003157,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs12/performance.jsonl
panel-0,tangram-snapkv,32,1597.2579187936033,False,/data2/haojitai/outputs/Sparse-vLLM/tangram_formal_chunk4096_20260911/32k/qwen3-30b-fp8/tangram-snapkv-formal-chunk4096/tangram-snapkv/bs32/performance.jsonl
panel-0,hisparse-quest,2,295.09260258366834,False,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-snapkv_tangram-snapkv_hisparse-quest-qwen-gpu5-sparse-matched/hisparse-quest/bs2/performance.jsonl
panel-0,vortex-quest,12,1024.3904041846858,False,/data2/haojitai/outputs/Sparse-vLLM/paper_vortex_capacity_20260910/qwen3-30b-fp8-32768/qwen3-30b-fp8/vortex-quest-vortex-v3/vortex-quest/bs12/performance.jsonl
panel-1,sengine-vanilla,22,1067.608737469398,False,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-vanilla/bs22/performance.jsonl
panel-1,sengine-snapkv,71,2753.095251452647,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/glm4.7-flash/sengine-snapkv-repoopt-snapkv-affinity0-bs71-20260922/sengine-snapkv/bs71/performance.jsonl
panel-1,sengine-quest,20,1757.8934945749402,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-quest/bs20/performance.jsonl
panel-1,sengine-omnikv,22,1681.3200797466682,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/glm4.7-flash/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-r2-20260922/sengine-omnikv/bs22/performance.jsonl
panel-1,vllm-vanilla,23,897.7751811746139,True,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/glm4.7-flash/svllm-vanilla_vllm-vanilla_svllm-snapkv-glm-gpu67-remaining/vllm-vanilla/bs23/performance.jsonl
panel-1,vortex-quest,23,1222.8729954206635,False,/data2/haojitai/outputs/Sparse-vLLM/vortex_glm_tp2_fix_20260910/vortex32/glm4.7-flash/vortex-quest-tp-local-v1/vortex-quest/bs23/performance.jsonl
