panel,model,input_len,output_len,lane,concurrency,decode_throughput_tps,decode_tokens,decode_elapsed_s,measured_steps,artifact
panel-0,qwen3-30b-fp8,32768,2048,vllm-vanilla,1,184.3704793371677,768,4.165525862714276,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs1/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,vllm-vanilla,2,282.7995921545223,1536,5.431408115895465,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs2/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,vllm-vanilla,4,396.9237163254184,3072,7.7395224161446095,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs4/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,vllm-vanilla,8,539.8433885345648,6144,11.381078532198444,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs8/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,vllm-vanilla,12,532.1965403003157,9216,17.31691076909192,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_20260910/qwen3-30b-fp8/svllm-vanilla_svllm-quest_svllm-omnikv_vllm-vanilla-qwen-gpu5/vllm-vanilla/bs12/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-vanilla,1,212.80129671998415,768,3.6090005645528436,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-vanilla/bs1/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-vanilla,2,340.2121006211782,1536,4.514830593019724,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-vanilla/bs2/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-vanilla,4,454.8156813032087,3072,6.754384526051581,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-vanilla/bs4/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-vanilla,8,610.7110091572753,6144,10.060404852498323,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-vanilla/bs8/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-vanilla,12,588.2618953471637,9216,15.666491528507322,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_20260922/qwen3-30b-fp8/sengine-vanilla_sengine-snapkv_sengine-quest_sengine-omnikv-repoopt-full-20260922/sengine-vanilla/bs12/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-snapkv,1,213.22106646538242,768,3.601895500905812,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/qwen3-30b-fp8/sengine-snapkv-repoopt-snapkv-affinity0-probes-r4-gpu6-20260922/sengine-snapkv/bs1/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-snapkv,2,373.3252386813742,1536,4.114374922588468,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/qwen3-30b-fp8/sengine-snapkv-repoopt-snapkv-affinity0-probes-r4-gpu6-20260922/sengine-snapkv/bs2/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-snapkv,4,615.8777735910534,3072,4.988002703990787,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/qwen3-30b-fp8/sengine-snapkv-repoopt-snapkv-affinity0-probes-r4-gpu6-20260922/sengine-snapkv/bs4/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-snapkv,8,1055.8031494657218,6144,5.819266596343368,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/qwen3-30b-fp8/sengine-snapkv-repoopt-snapkv-affinity0-probes-r4-gpu6-20260922/sengine-snapkv/bs8/performance.jsonl
panel-0,qwen3-30b-fp8,32768,2048,sengine-snapkv,16,1598.4917597304304,12288,7.687246384099126,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_32k2k_repoopt_affinity0_20260922/qwen3-30b-fp8/sengine-snapkv-repoopt-snapkv-affinity0-probes-r4-gpu6-20260922/sengine-snapkv/bs16/performance.jsonl
