panel,model,input_len,output_len,lane,concurrency,decode_throughput_tps,decode_tokens,decode_elapsed_s,measured_steps,artifact
panel-0,qwen3-30b-fp8,131072,2048,sengine-vanilla,1,122.88202344945704,768,6.249897083733231,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/qwen3-30b-fp8/sengine-vanilla-native-128k-qwen-vanilla/sengine-vanilla/bs1/performance.jsonl
panel-0,qwen3-30b-fp8,131072,2048,sengine-vanilla,2,158.92826650409606,1536,9.664737644139677,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/qwen3-30b-fp8/sengine-vanilla-native-128k-qwen-vanilla/sengine-vanilla/bs2/performance.jsonl
panel-0,qwen3-30b-fp8,131072,2048,sengine-vanilla,3,174.9119392804971,2304,13.17234266269952,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/qwen3-30b-fp8/sengine-vanilla-native-128k-qwen-vanilla/sengine-vanilla/bs3/performance.jsonl
panel-0,qwen3-30b-fp8,131072,2048,sengine-snapkv,1,211.80295100006364,768,3.6260118018835783,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-full/sengine-snapkv/bs1/performance.jsonl
panel-0,qwen3-30b-fp8,131072,2048,sengine-snapkv,2,390.1630285613074,1536,3.9368158630095422,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-full/sengine-snapkv/bs2/performance.jsonl
panel-0,qwen3-30b-fp8,131072,2048,sengine-snapkv,3,518.0185609968884,2304,4.447717077098787,768,/data2/haojitai/outputs/Sparse-vLLM/paper_decode_qwen128_bs3_gap_20260924/runs/qwen3-30b-fp8/sengine-snapkv-qwen128-bs3-gap-r2/sengine-snapkv/bs3/performance.jsonl
panel-0,qwen3-30b-fp8,131072,2048,sengine-snapkv,4,612.8525764137632,3072,5.012624762021005,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-bs4-clean/sengine-snapkv/bs4/performance.jsonl
panel-0,qwen3-30b-fp8,131072,2048,sengine-snapkv,8,1050.2918343638278,6144,5.849802691955119,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-full/sengine-snapkv/bs8/performance.jsonl
panel-0,qwen3-30b-fp8,131072,2048,sengine-snapkv,16,1598.9205639902757,12288,7.685184790752828,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-full/sengine-snapkv/bs16/performance.jsonl
panel-0,qwen3-30b-fp8,131072,2048,sengine-snapkv,30,2025.9543177361147,23040,11.37241832073778,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-bs30-31/sengine-snapkv/bs30/performance.jsonl
panel-0,qwen3-30b-fp8,131072,2048,sengine-quest,1,189.70025659125378,768,4.048492151778191,768,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/qwen3-30b-fp8/sengine-quest-native-128k-qwen-quest/sengine-quest/bs1/performance.jsonl
