panel,lane,concurrency,throughput_tps,artifact,baseline_throughput_tps,baseline_artifact,delta_percent,status,reason
panel-0,sengine-vanilla,1,122.88202344945704,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/qwen3-30b-fp8/sengine-vanilla-native-128k-qwen-vanilla/sengine-vanilla/bs1/performance.jsonl,115.46380073883562,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_20260909/qwen3-30b-fp8/vllm-vanilla-gpu2-vllm-validated/vllm-vanilla/bs1/performance.jsonl,6.424717238782485,success,
panel-0,sengine-vanilla,2,158.92826650409606,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/qwen3-30b-fp8/sengine-vanilla-native-128k-qwen-vanilla/sengine-vanilla/bs2/performance.jsonl,151.78605917645007,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_20260909/qwen3-30b-fp8/vllm-vanilla-gpu2-vllm-validated/vllm-vanilla/bs2/performance.jsonl,4.705443547581156,success,
panel-0,sengine-vanilla,3,174.9119392804971,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_repoopt_native_20260923/qwen3-30b-fp8/sengine-vanilla-native-128k-qwen-vanilla/sengine-vanilla/bs3/performance.jsonl,167.85849663622716,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_20260909/qwen3-30b-fp8/vllm-vanilla-gpu2-vllm-validated/vllm-vanilla/bs3/performance.jsonl,4.202017047463347,success,
panel-0,sengine-snapkv,1,211.80295100006364,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-full/sengine-snapkv/bs1/performance.jsonl,115.46380073883562,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_20260909/qwen3-30b-fp8/vllm-vanilla-gpu2-vllm-validated/vllm-vanilla/bs1/performance.jsonl,83.43666988681144,success,
panel-0,sengine-snapkv,2,390.1630285613074,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-full/sengine-snapkv/bs2/performance.jsonl,151.78605917645007,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_20260909/qwen3-30b-fp8/vllm-vanilla-gpu2-vllm-validated/vllm-vanilla/bs2/performance.jsonl,157.04799945279956,success,
panel-0,sengine-snapkv,3,518.0185609968884,/data2/haojitai/outputs/Sparse-vLLM/paper_decode_qwen128_bs3_gap_20260924/runs/qwen3-30b-fp8/sengine-snapkv-qwen128-bs3-gap-r2/sengine-snapkv/bs3/performance.jsonl,167.85849663622716,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_20260909/qwen3-30b-fp8/vllm-vanilla-gpu2-vllm-validated/vllm-vanilla/bs3/performance.jsonl,208.60431338159012,success,
panel-0,sengine-snapkv,4,612.8525764137632,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-bs4-clean/sengine-snapkv/bs4/performance.jsonl,,,,skipped_by_policy,no_measured_baseline_at_same_concurrency
panel-0,sengine-snapkv,8,1050.2918343638278,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-full/sengine-snapkv/bs8/performance.jsonl,,,,skipped_by_policy,no_measured_baseline_at_same_concurrency
panel-0,sengine-snapkv,16,1598.9205639902757,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-full/sengine-snapkv/bs16/performance.jsonl,,,,skipped_by_policy,no_measured_baseline_at_same_concurrency
panel-0,sengine-snapkv,30,2025.9543177361147,/data2/haojitai/outputs/Sparse-vLLM/paper_boundary_capacity_128k2k_snapkv_wave2_gpu67_20260923/qwen3-30b-fp8/sengine-snapkv-qwen-wave2-bs30-31/sengine-snapkv/bs30/performance.jsonl,,,,skipped_by_policy,no_measured_baseline_at_same_concurrency
